Price,Distance
10,210000
1.85,240000
10.58,10000
2.77,200000
16.92,25000
1.08,10000
15.08,50000
5.69,100000
3.08,24000
6.12,120000
12.31,47000
6.62,170000
7.69,200000
5.31,120000
8.46,145000
12,30000
4.89,110000
6.15,110000
16.62,80000
19.23,65000
7.2,110000
12.31,70000
3.85,90000
6.92,82000
6.12,100000
5.97,210000
6.15,90000
6.62,150000
4.62,130000
3,80000
6.92,100000
11.23,100000
1.97,30000
3.69,92000
5.54,200000
2.92,200000
7.63,40000
6.15,10000
0.92,200000
5.38,230000
7.08,100000
16.92,60000
7.69,90000
5.85,240000
8.92,48000
5.54,130000
3.23,130000
10.77,50000
7.54,10000
2.15,220000
1.85,150000
6.38,70000
1.85,150000
4.77,140000
18.46,39000
11.23,33000
3.77,10000
3.38,47000
1.32,150000
4,140000
11.54,120000
3.69,200000
4.62,80000
8.15,170000
12,40000
5.69,80000
4,100000
4.92,150000
7.69,45000
2.92,190000
14.28,57000
33.85,10000
3.08,180000
15.23,100000
6.92,210000
2.12,170000
7.69,200000
6.46,120000
16.92,120000
6.62,76000
5.85,140000
7.85,10000
15.38,10000
12.77,63000
3.85,90000
18.15,85000
10.15,39000
5.2,110000
6,96000
5.05,90000
6.46,120000
1.85,150000
8.77,90000
10.62,110000
8.15,60000
3.38,200000
18.46,43000
4.77,107000
5.54,10000
0.77,10000
8.62,10000
11.54,95000
6,130000
4.31,130000
6.92,85000
6.15,80000
15.38,10000
25.85,30000
6.15,10000
3.08,130000
1.69,180000
3.54,200000
14.31,85000
15.38,120000
4.77,160000
22.77,60000
14.31,90000
7.38,117000
6.46,140000
6.89,100000
3.38,210000
6.46,200000
6.92,130000
6.58,187000
8.89,32000
6.15,168000
11.66,17000
4,160000
4.43,100000
9.69,70000
13.85,10000
3.54,10000
10,150000
5.08,120000
6.46,110000
6.92,86000
0.58,10000
0.77,200000
13.08,28000
2.31,150000
8.31,120000
6.92,50000
14.77,140000
2.31,170000
3.23,10000
9.54,170000
4.92,80000
4.31,160000
2.62,10000
10.62,85000
2.31,10000
5.38,40000
1.15,10000
7.15,73000
3.38,110000
35.23,10000
9.23,115000
1.97,240000
1.54,10000
6.92,100000
4.77,190000
1.54,100000
8.15,180000
4.62,180000
8.46,50000
7.08,136000
9.23,60000
4.62,110000
14,60000
11.54,12000
0.85,160000
6.62,150000
0.77,200000
7.31,140000
20,130000
17.23,75000
0.92,200000
6.71,100000
3.85,200000
12,100000
11.08,83000
0.92,10000
5.38,70000
3.63,180000
4,110000
17.69,60000
5.38,150000
10,150000
24.58,174000
1.54,200000
15.85,39000
3.23,200000
7.66,80000
6.46,90000
4.31,160000
5.08,170000
35.38,20000
2.08,200000
3.97,150000
22.31,15000
4.92,150000
8.69,30000
12,15000
12,130000
4,10000
0.92,10000
7.54,130000
6.15,110000
4.89,86000
12.15,130000
24.62,190000
11.54,80000
6,140000
2.43,80000
14.77,120000
7.51,200000
3.85,170000
4.92,140000
18.25,37000
2.77,150000
10.62,138000
3.51,150000
10.46,48000
7.38,60000
16.12,52000
1.08,10000
5.23,170000
5.23,110000
6.46,160000
9.54,40000
9.05,33000
6.46,180000
6.15,80000
28.92,188000
11.38,64000
6.46,78000
16.92,30000
10.28,126000
5.08,150000
4.77,150000
15.2,50000
2.85,200000
6,220000
2.31,18000
4.62,120000
13.08,95000
9.08,80000
12.31,30000
5.38,80000
2.77,120000
1.97,220000
2.31,10000
9.23,20000
2.46,200000
19.69,33000
8,100000
18.46,13000
3.38,200000
8.46,100000
0.58,10000
3.62,10000
7.23,70000
6.92,52000
11.54,82000
8.92,170000
14.62,20000
8,89000
17.69,14000
6.92,10000
32.31,60000
8.62,150000
2.77,190000
6.62,10000
4.62,160000
2.15,160000
4.92,110000
1.85,200000
5.69,83000
11.54,60000
1.2,200000
15.38,150000
4.46,80000
12.77,13000
7.08,160000
4.74,110000
10,69000
14.31,40000
7.69,150000
0.15,50000
6.92,10000
2.92,80000
5.54,200000
7.38,113000
11.62,47000
7.69,48000
4.74,85000
8.62,72000
6.92,100000
3.08,10000
18.46,64000
2.62,200000
16.62,35000
6.92,80000
8.28,110000
6.31,90000
